name,artist,file,tempo,energy,danceability,valence_proxy,mood
Children,Constantin Nasiri,Children_Constantin_Nasiri_track.mp3,118.0,0.2733925456046327,0.6108532905578613,0.6809648991626481,Neutral
Time,Carlita,Time_Carlita_track.mp3,125.0,0.2755360749508287,0.4294910430908203,0.6495808374876961,Neutral
Million Miles Away,Miss Monique,Million_Miles_Away_Miss_Monique_track.mp3,125.0,0.3161543280890546,0.4484854698181152,0.7738606356853909,Neutral
Everyone's Free (To Wear Sunscreen),HOVR,Everyone's_Free_(To_Wear_Sunscreen)_HOVR_track.mp3,123.0,0.3278564496559296,0.4811761856079101,0.6464228481288046,Neutral
Queen,Melmont,Queen_Melmont_track.mp3,122.0,0.3222923934341503,0.4956960678100586,0.7922856344404091,Neutral
RITMO,Argy,RITMO_Argy_track.mp3,128.0,0.3863998338060507,0.4528199672698975,0.8033969879408502,Happy
Volar,Seba Campos,Volar_Seba_Campos_track.mp3,122.0,0.3733014329419389,0.5249680519104004,0.8497400483568622,Happy
Always - Monkey Safari Remix,RUFUS DU SOL,Always_-_Monkey_Safari_Remix_RUFUS_DU_SOL_track.mp3,125.0,0.3844689217624247,0.6384708881378174,0.7171153218533786,Happy
Can You See,UOAK,Can_You_See_UOAK_track.mp3,120.0,0.4193860292398222,0.4741289138793945,0.673609477144916,Energetic
Montana,Jasch Patrick,Montana_Jasch_Patrick_track.mp3,120.0,0.3350496955599747,0.8482623100280762,0.7837528391939614,Neutral
Like Forever - Hernan Cattaneo and Kevin Di Serna Remix,El Mundo,Like_Forever_-_Hernan_Cattaneo_and_Kevin_Di_Serna_Remix_El_Mundo_track.mp3,125.0,0.3496653089742723,0.4783617973327637,0.751135008770115,Neutral
Bulkowa - Wassu Remix,Arina Mur,Bulkowa_-_Wassu_Remix_Arina_Mur_track.mp3,122.0,0.3578736112072224,0.6087215900421142,0.889876974439485,Happy
The Sun - Remix,Booka Shade,The_Sun_-_Remix_Booka_Shade_track.mp3,122.0,0.3028289819107631,0.6478945255279541,0.7091918147142249,Neutral
Sensibilite,Marat Mode,Sensibilite_Marat_Mode_track.mp3,125.0,0.4259290936733798,0.4992918014526367,0.7244832662743043,Happy
Hollow (feat. Bonn),MORTEN,Hollow_(feat._Bonn)_MORTEN_track.mp3,127.0,0.31660140030533,0.3946854114532471,0.812822068181466,Neutral
In Your Eyes,Sonaba,In_Your_Eyes_Sonaba_track.mp3,123.0,0.3367440588579519,0.4609763145446777,0.6988858379491247,Neutral
Brand New Day,Nico Morano,Brand_New_Day_Nico_Morano_track.mp3,125.0,0.3563917778533623,0.6145521640777588,0.70234103784067,Happy
Take Your Time - Budakid Remix,El Mundo,Take_Your_Time_-_Budakid_Remix_El_Mundo_track.mp3,122.0,0.4005380322163304,0.615009880065918,0.7557284238873079,Happy
Lissu,Wassu,Lissu_Wassu_track.mp3,120.0,0.4392640404450471,0.5437733650207519,0.8677109299657456,Happy
Makeda,Alice DiMar,Makeda_Alice_DiMar_track.mp3,122.0,0.3537918603160525,0.5246102333068847,0.6601997449939585,Energetic
Infinity,Budakid,Infinity_Budakid_track.mp3,125.0,0.3353878474213335,0.7428843975067139,0.7913997060215072,Neutral
Amado,MAXI MERAKI,Amado_MAXI_MERAKI_track.mp3,120.0,0.3554545036444091,0.688190507888794,0.7556234664803673,Happy
A Dream - Sunrise Mix,Ria Mehta,A_Dream_-_Sunrise_Mix_Ria_Mehta_track.mp3,125.0,0.3292646299591743,0.5407806873321533,0.7401943251303886,Neutral
Love Again,Eli & Fur,Love_Again_Eli_&_Fur_track.mp3,125.0,0.3454885683609041,0.4808109283447265,0.7292905321119271,Neutral
Monday Blues - Pandhora Remix Radio Edit,Eric Sharp,Monday_Blues_-_Pandhora_Remix_Radio_Edit_Eric_Sharp_track.mp3,122.0,0.323896887215893,0.5460296630859375,0.6285992958125255,Neutral
Everything I Know,Rnhoff,Everything_I_Know_Rnhoff_track.mp3,118.0,0.3050846822223362,0.6115242958068847,0.7324318244609087,Neutral
A Heart To Share - Edit,Fahlberg,A_Heart_To_Share_-_Edit_Fahlberg_track.mp3,122.0,0.3234827348093356,0.4997962474822998,0.6709176751361503,Neutral
Homesick - Nicone & David Hasert Remix,HOVR,Homesick_-_Nicone_&_David_Hasert_Remix_HOVR_track.mp3,128.0,0.3203636563696487,0.6248149871826172,0.7030054160783799,Neutral
Aria,Argy,Aria_Argy_track.mp3,122.0,0.4632951914801245,0.483854866027832,0.7182867431050726,Happy
Who Loves The Sun - Rodriguez Jr. Remix,Nu,Who_Loves_The_Sun_-_Rodriguez_Jr._Remix_Nu_track.mp3,125.0,0.4077869207137454,0.5030059337615966,0.7036580554862232,Happy
Told U So,Sinca,Told_U_So_Sinca_track.mp3,125.0,0.3079821258741423,0.5944544315338135,0.7646794178774373,Neutral
Take Your Time - 2024 version,El Mundo,Take_Your_Time_-_2024_version_El_Mundo_track.mp3,120.0,0.3683451198597123,0.6657590389251709,0.7293340824767056,Happy
Clear Your Mind - Radio Edit,Tobias Bergson,Clear_Your_Mind_-_Radio_Edit_Tobias_Bergson_track.mp3,120.0,0.3555095037804722,0.4117739677429199,0.6508105482778249,Energetic
More Love - Rampa &ME Remix,Moderat,More_Love_-_Rampa_&ME_Remix_Moderat_track.mp3,122.0,0.3146985126181425,0.7948474884033203,0.6815845531539024,Neutral
Apollo,Hannes Bieger,Apollo_Hannes_Bieger_track.mp3,125.0,0.3444091886475564,0.576110553741455,0.6591876802371901,Neutral
Montana - Marc Werner Remix,Jasch Patrick,Montana_-_Marc_Werner_Remix_Jasch_Patrick_track.mp3,120.0,0.3293627456790621,0.5458637237548828,0.7039606086620065,Neutral
Like Forever,El Mundo,Like_Forever_El_Mundo_track.mp3,125.0,0.3584299786461388,0.5253541946411133,0.7538800392687252,Happy
Confluence,Eric Sharp,Confluence_Eric_Sharp_track.mp3,122.0,0.2895697571195648,0.5334720134735107,0.6628610738056082,Neutral
Sierra,Argy,Sierra_Argy_track.mp3,125.0,0.3511561923401419,0.5185698509216309,0.7519249757207803,Happy
To the Sea - Einmusik Remix,Booka Shade,To_the_Sea_-_Einmusik_Remix_Booka_Shade_track.mp3,125.0,0.4016262976820005,0.6478471279144287,0.8295614314418107,Happy
Every Breath,Miss Monique,Every_Breath_Miss_Monique_track.mp3,125.0,0.3575205906046417,0.4473562240600586,0.6614901522889832,Energetic
Dreaming - Casper Cole Remix Edit,Jordan Arts,Dreaming_-_Casper_Cole_Remix_Edit_Jordan_Arts_track.mp3,122.0,0.3925540554975818,0.5164497852325439,0.8440728541119625,Happy
Fall,David Ramano,Fall_David_Ramano_track.mp3,120.0,0.3609892968164696,0.5694721698760986,0.7644604550043539,Happy
Sun is Dark,Sonaba,Sun_is_Dark_Sonaba_track.mp3,123.0,0.333199479601983,0.4880882263183593,0.6498741689172631,Neutral
Electric,Miss Monique,Electric_Miss_Monique_track.mp3,125.0,0.3292162342322962,0.5042732715606689,0.664659886853851,Neutral
Lost Dream - Tensnake Remix Edit,Aiwaska,Lost_Dream_-_Tensnake_Remix_Edit_Aiwaska_track.mp3,122.0,0.2744024256406915,0.6827789306640625,0.7331908076237248,Neutral
Accent,Sandhog,Accent_Sandhog_track.mp3,122.0,0.3253275054680314,0.626154613494873,0.7088459390160865,Neutral
Daylight,Aalson,Daylight_Aalson_track.mp3,124.0,0.2636837590565881,0.7184343814849854,0.6484797617671072,Neutral
Bulkowa,Arina Mur,Bulkowa_Arina_Mur_track.mp3,122.0,0.3578736112072224,0.6087215900421142,0.889876974439485,Happy
Little Void,El Mundo,Little_Void_El_Mundo_track.mp3,122.0,0.3949209879265095,0.8341839790344239,0.8078223668004815,Happy
